universite_adi,bolum_adi,puan_2024,tur
KAYSERİ ÜNİVERSİTESİ,Bilgisayar Mühendisliği,314.49811,bilgisayar
ISPARTA UYGULAMALI BİLİMLER ÜNİVERSİTESİ,Bilgisayar Mühendisliği,314.3246,bilgisayar
FENERBAHÇE ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce) (Burslu),313.79716,bilgisayar
DÜZCE ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce),313.76648,bilgisayar
NECMETTİN ERBAKAN ÜNİVERSİTESİ,Bilgisayar Mühendisliği,313.76547,bilgisayar
İSTANBUL TOPKAPI ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce) (Burslu),313.7288,bilgisayar
FIRAT ÜNİVERSİTESİ,Bilgisayar Mühendisliği,313.61287,bilgisayar
İSTANBUL AREL ÜNİVERSİTESİ,Bilgisayar Mühendisliği (Burslu),313.44439,bilgisayar
SÜLEYMAN DEMİREL ÜNİVERSİTESİ,Bilgisayar Mühendisliği,313.29702,bilgisayar
BİLECİK ŞEYH EDEBALİ ÜNİVERSİTESİ,Bilgisayar Mühendisliği,312.86844,bilgisayar
KÜTAHYA DUMLUPINAR ÜNİVERSİTESİ,Bilgisayar Mühendisliği,312.86522,bilgisayar
BANDIRMA ONYEDİ EYLÜL ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce),312.53528,bilgisayar
YALOVA ÜNİVERSİTESİ,Bilgisayar Mühendisliği,312.53219,bilgisayar
ERZURUM TEKNİK ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce),312.52496,bilgisayar
İSTANBUL AREL ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce) (Burslu),312.36644,bilgisayar
ADIYAMAN ÜNİVERSİTESİ,Bilgisayar Mühendisliği,311.04701,bilgisayar
İSTANBUL KÜLTÜR ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce) (%50 İndirimli),310.38642,bilgisayar
YAŞAR ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce) (%25 İndirimli),310.27433,bilgisayar
OSTİM TEKNİK ÜNİVERSİTESİ,Bilgisayar Mühendisliği (%50 İndirimli),310.26297,bilgisayar
İSTANBUL SAĞLIK VE TEKNOLOJİ ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce) (Burslu),309.99602,bilgisayar
ZONGULDAK BÜLENT ECEVİT ÜNİVERSİTESİ,Bilgisayar Mühendisliği,309.79792,bilgisayar
ALANYA ALAADDİN KEYKUBAT ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce),309.66442,bilgisayar
MALTEPE ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce) (Burslu),309.51053,bilgisayar
ATATÜRK ÜNİVERSİTESİ,Bilgisayar Mühendisliği,309.04024,bilgisayar
BURDUR MEHMET AKİF ERSOY ÜNİVERSİTESİ,Bilgisayar Mühendisliği,308.67939,bilgisayar
KÜTAHYA SAĞLIK BİLİMLERİ ÜNİVERSİTESİ,Bilgisayar Mühendisliği,308.60774,bilgisayar
KARABÜK ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce),308.44647,bilgisayar
SİVAS BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce),308.41327,bilgisayar
