universite_adi,bolum_adi,kontenjan,tur
"İstanbul Sağlık ve Teknoloji Üniversitesi (İstanbul)","Bilgisayar Mühendisliği (İngilizce) (Burslu)","1","bilgisayar"
"İstanbul Sağlık ve Teknoloji Üniversitesi (İstanbul)","Bilgisayar Mühendisliği (İngilizce) (%50 İndirimli)","2","bilgisayar"
"İstanbul Sağlık ve Teknoloji Üniversitesi (İstanbul)","Yazılım Mühendisliği (Burslu)","1","yazilim"
"İstanbul Sağlık ve Teknoloji Üniversitesi (İstanbul)","Yazılım Mühendisliği (%50 İndirimli)","2","yazilim"
"İstanbul Sağlık ve Teknoloji Üniversitesi (İstanbul)","Yazılım Mühendisliği (İngilizce) (Burslu)","1","yazilim"
"İstanbul Sağlık ve Teknoloji Üniversitesi (İstanbul)","Yazılım Mühendisliği (İngilizce) (%50 İndirimli)","2","yazilim"
"İstanbul Ticaret Üniversitesi (İstanbul)","Bilgisayar Mühendisliği (Ücretli)","1","bilgisayar"
"İstanbul Ticaret Üniversitesi (İstanbul)","Bilgisayar Mühendisliği (Burslu)","1","bilgisayar"
"İstanbul Ticaret Üniversitesi (İstanbul)","Bilgisayar Mühendisliği (%50 İndirimli)","1","bilgisayar"
"İstinye Üniversitesi (İstanbul)","Bilgisayar Mühendisliği (Burslu)","1","bilgisayar"
"İstinye Üniversitesi (İstanbul)","Bilgisayar Mühendisliği (%50 İndirimli)","2","bilgisayar"
"İstinye Üniversitesi (İstanbul)","Bilgisayar Mühendisliği (İngilizce) (Burslu)","1","bilgisayar"
"İstinye Üniversitesi (İstanbul)","Bilgisayar Mühendisliği (İngilizce) (%50 İndirimli)","2","bilgisayar"
"İstinye Üniversitesi (İstanbul)","Yazılım Mühendisliği (Burslu)","1","yazilim"
"İstinye Üniversitesi (İstanbul)","Yazılım Mühendisliği (%50 İndirimli)","2","yazilim"
"İstinye Üniversitesi (İstanbul)","Yazılım Mühendisliği (İngilizce) (Burslu)","1","yazilim"
"İstinye Üniversitesi (İstanbul)","Yazılım Mühendisliği (İngilizce) (%50 İndirimli)","2","yazilim"
"İzmir Ekonomi Üniversitesi (İzmir)","Bilgisayar Mühendisliği (İngilizce) (Ücretli)","2","bilgisayar"
"İzmir Ekonomi Üniversitesi (İzmir)","Bilgisayar Mühendisliği (İngilizce) (Burslu)","1","bilgisayar"
"İzmir Ekonomi Üniversitesi (İzmir)","Yazılım Mühendisliği (İngilizce) (Ücretli)","2","yazilim"
"İzmir Ekonomi Üniversitesi (İzmir)","Yazılım Mühendisliği (İngilizce) (Burslu)","1","yazilim"
"Kocaeli Sağlık ve Teknoloji Üniversitesi (Kocaeli)","Bilgisayar Mühendisliği (Burslu)","1","bilgisayar"
"Kocaeli Sağlık ve Teknoloji Üniversitesi (Kocaeli)","Bilgisayar Mühendisliği (%25 İndirimli)","2","bilgisayar"
"Kocaeli Sağlık ve Teknoloji Üniversitesi (Kocaeli)","Yazılım Mühendisliği (Burslu)","1","yazilim"
"Kocaeli Sağlık ve Teknoloji Üniversitesi (Kocaeli)","Yazılım Mühendisliği (%25 İndirimli)","2","yazilim"
"Maltepe Üniversitesi (İstanbul)","Bilgisayar Mühendisliği (İngilizce) (Burslu)","1","bilgisayar"
"Maltepe Üniversitesi (İstanbul)","Bilgisayar Mühendisliği (İngilizce) (%50 İndirimli)","1","bilgisayar"
"Maltepe Üniversitesi (İstanbul)","Yazılım Mühendisliği (İngilizce) (Burslu)","1","yazilim"
"Maltepe Üniversitesi (İstanbul)","Yazılım Mühendisliği (İngilizce) (%50 İndirimli)","1","yazilim"
"Mudanya Üniversitesi (Bursa)","Bilgisayar Mühendisliği (Ücretli)","1","bilgisayar"
"Mudanya Üniversitesi (Bursa)","Bilgisayar Mühendisliği (Burslu)","1","bilgisayar"
"Ostim Teknik Üniversitesi (Ankara)","Bilgisayar Mühendisliği (Ücretli)","1","bilgisayar"
"Ostim Teknik Üniversitesi (Ankara)","Bilgisayar Mühendisliği (Burslu)","1","bilgisayar"
"Ostim Teknik Üniversitesi (Ankara)","Bilgisayar Mühendisliği (%50 İndirimli)","1","bilgisayar"
"Ostim Teknik Üniversitesi (Ankara)","Bilgisayar Mühendisliği (İngilizce) (Ücretli)","1","bilgisayar"
"Ostim Teknik Üniversitesi (Ankara)","Bilgisayar Mühendisliği (İngilizce) (Burslu)","1","bilgisayar"
"Ostim Teknik Üniversitesi (Ankara)","Bilgisayar Mühendisliği (İngilizce) (%50 İndirimli)","1","bilgisayar"
"Ostim Teknik Üniversitesi (Ankara)","Yazılım Mühendisliği (Ücretli)","1","yazilim"
"Ostim Teknik Üniversitesi (Ankara)","Yazılım Mühendisliği (Burslu)","1","yazilim"
"Ostim Teknik Üniversitesi (Ankara)","Yazılım Mühendisliği (%50 İndirimli)","1","yazilim"
"Ostim Teknik Üniversitesi (Ankara)","Yazılım Mühendisliği (İngilizce) (Ücretli)","1","yazilim"
"Ostim Teknik Üniversitesi (Ankara)","Yazılım Mühendisliği (İngilizce) (Burslu)","1","yazilim"
"Ostim Teknik Üniversitesi (Ankara)","Yazılım Mühendisliği (İngilizce) (%50 İndirimli)","1","yazilim"
"Toros Üniversitesi (Mersin)","Yazılım Mühendisliği (İngilizce) (Ücretli)","1","yazilim"
"Toros Üniversitesi (Mersin)","Yazılım Mühendisliği (İngilizce) (Burslu)","1","yazilim"
"Toros Üniversitesi (Mersin)","Yazılım Mühendisliği (İngilizce) (%50 İndirimli)","1","yazilim"
"Türk Hava Kurumu Üniversitesi (Ankara)","Bilgisayar Mühendisliği (İngilizce) (Ücretli)","1","bilgisayar"
